date,title,proposed,n,source,flag,evidence,key
2020-03-01,Saga of Saga: Issue 8,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 8 -> volume 2,p:34093373
2020-03-04,Saga of Saga: Issue 9,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 9 -> volume 2,p:34093409
2020-03-07,Saga of Saga: Issue 10,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 10 -> volume 2,p:34093426
2020-03-11,Saga of Saga: Issue 11,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 11 -> volume 2,p:34093469
2020-03-14,Saga of Saga: Issue 12,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 12 -> volume 2,p:34093487
2020-03-18,Saga of Saga: Volume 2 Wrap,Mike Rapin; Kara Szamborski; Brian Murray,3,saga-wrap+description,,"A summary discussion with Mike, Kara, and Brian.",p:34093510
2020-03-21,Saga of Saga: Issue 13,Brian Murray; Mike Rapin,2,saga-volume,,issue 13 -> volume 3,p:34602203
2020-03-25,Saga of Saga: Issue 14,Brian Murray; Mike Rapin,2,saga-volume,,issue 14 -> volume 3,p:34602346
2020-03-28,Saga of Saga: Issue 15,Brian Murray; Mike Rapin,2,saga-volume,,issue 15 -> volume 3,p:34602393
2020-03-29,IRCB Movie Club #1 | Ghost World,Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"On this first episode of a new quarterly series, Paul, Mike, and Brian discuss Daniel Clowes' Ghost World and the film adaptation of the same name, ",p:35238867
2020-03-31,"March 2020 Goodreads Book of the Month: Batgirl and the Birds of Prey, Volume 1: Who Is Oracle?",Kate Skocelas; Mike Rapin,2,description,,"Kate and Mike sat down to discuss our Goodreads Book of the Month: Batgirl and the Birds of Prey, Volume 1: Who Is Oracle? Goodreads Thread",p:35452345
2020-04-01,Saga of Saga: Issue 16,Brian Murray; Mike Rapin,2,saga-volume,,issue 16 -> volume 3,p:34602458
2020-04-04,Saga of Saga: Issue 17,Brian Murray; Mike Rapin,2,saga-volume,,issue 17 -> volume 3,p:34602486
2020-04-08,Saga of Saga: Issue 18,Brian Murray; Mike Rapin,2,saga-volume,,issue 18 -> volume 3,p:34633906
2020-04-11,Saga of Saga: Volume 3 Wrap,Brian Murray; Mike Rapin,2,saga-wrap+description,,Brian and Mike discuss the arc of Volume 3 of Saga!,p:34602522
2020-04-15,Saga of Saga: Issue 19,Kait Lamphere; Brian Murray,2,saga-volume,,issue 19 -> volume 4,p:35837055
2020-04-18,Saga of Saga: Issue 20,Kait Lamphere; Brian Murray,2,saga-volume,,issue 20 -> volume 4,p:35837374
2020-04-22,Saga of Saga: Issue 21,Kait Lamphere; Brian Murray,2,saga-volume,,issue 21 -> volume 4,p:35837429
2020-04-25,Saga of Saga: Issue 22,Kait Lamphere; Brian Murray,2,saga-volume,,issue 22 -> volume 4,p:35837430
2020-04-29,Saga of Saga: Issue 23,Kait Lamphere; Brian Murray,2,saga-volume,,issue 23 -> volume 4,p:35837432
2020-05-02,Saga of Saga: Issue 24,Kait Lamphere; Brian Murray,2,saga-volume,,issue 24 -> volume 4,p:35837433
2020-05-06,Saga of Saga: Volume 4 Wrap,Kara Szamborski; Brian Murray; Kait Lamphere,3,saga-wrap+description,,Kara joins Brian and Kait to discuss all of Volume 4 of Saga.,p:35837434
2020-05-09,Saga of Saga: Issue 25,Mike Rapin; Brian Murray,2,saga-volume,,issue 25 -> volume 5,p:35837679
2020-05-13,Saga of Saga: Issue 26,Mike Rapin; Brian Murray,2,saga-volume,,issue 26 -> volume 5,p:35837689
2020-05-16,Saga of Saga: Issue 27,Mike Rapin; Brian Murray,2,saga-volume,,issue 27 -> volume 5,p:35837691
2020-05-20,Saga of Saga: Issue 28,Mike Rapin; Brian Murray,2,saga-volume,,issue 28 -> volume 5,p:35837692
2020-05-23,Saga of Saga: Issue 29,Mike Rapin; Brian Murray,2,saga-volume,,issue 29 -> volume 5,p:35837694
2020-05-27,Saga of Saga: Issue 30,Mike Rapin; Brian Murray,2,saga-volume,,issue 30 -> volume 5,p:35837695
2020-05-30,Saga of Saga: Volume 5 Wrap,Brian Murray; Kait Lamphere; Mike Rapin,3,saga-wrap+description,,"Brian, Kait, and Mike discuss the complexities of Volume 5 of Saga.",p:35837700
2020-06-03,Saga of Saga: Issue 31,Kait Lamphere; Mike Rapin,2,saga-volume,,issue 31 -> volume 6,p:37737230
2020-06-06,Saga of Saga: Issue 32,Kait Lamphere; Mike Rapin,2,saga-volume,,issue 32 -> volume 6,p:37737343
2020-06-10,Saga of Saga: Issue 33,Kait Lamphere; Mike Rapin,2,saga-volume,,issue 33 -> volume 6,p:37737344
2020-06-13,Saga of Saga: Issue 34,Kait Lamphere; Mike Rapin,2,saga-volume,,issue 34 -> volume 6,p:37737347
2020-06-17,Saga of Saga: Issue 35,Kait Lamphere; Mike Rapin,2,saga-volume,,issue 35 -> volume 6,p:37737350
2020-06-18,May 2020 Goodreads Book of the Month: Uzumaki: Spiral Into Horror Vol. 1,Brian Murray; Nick White,2,description,,Brian and Nick (??!!!???) sat down to discuss May's Goodread's Book of the Month: Uzumaki: Spiral Into Horror Vol. 1 by Junji Ito. Goodreads Thread,p:38281020
2020-06-20,Saga of Saga: Issue 36,Kait Lamphere; Mike Rapin,2,saga-volume,,issue 36 -> volume 6,p:37738300
2020-06-24,Saga of Saga: Vol. 6 Wrap,Mike Rapin; Brian Murray; Kait Lamphere,3,saga-wrap+description,,"Mike, Brian, and Kait discuss Volume 6 of Saga!",p:37737351
2020-06-27,Saga of Saga: Issue 37,Brian Murray; Kara Szamborski,2,saga-volume,,issue 37 -> volume 7,p:38074395
2020-07-01,Saga of Saga: Issue 38,Brian Murray; Kara Szamborski,2,saga-volume,,issue 38 -> volume 7,p:38074430
2020-07-04,Saga of Saga: Issue 39,Brian Murray; Kara Szamborski,2,saga-volume,,issue 39 -> volume 7,p:38074433
2020-07-08,Saga of Saga: Issue 40,Brian Murray; Kara Szamborski,2,saga-volume,,issue 40 -> volume 7,p:38074435
2020-07-11,Saga of Saga: Issue 41,Brian Murray; Kara Szamborski,2,saga-volume,,issue 41 -> volume 7,p:38074436
2020-07-15,Saga of Saga: Issue 42,Brian Murray; Kara Szamborski,2,saga-volume,,issue 42 -> volume 7,p:38074438
2020-07-18,Saga of Saga: Vol. 7 Wrap,Brian Murray; Kara Szamborski; Mike Rapin,3,saga-wrap+description,,"Brian, Kara, and Mike wrap up volume 7 of Saga!",p:38074441
2020-07-22,Saga of Saga: Issue 43,Kait Lamphere; Brian Murray,2,saga-volume,,issue 43 -> volume 8,p:38995784
2020-07-25,Saga of Saga: Issue 44,Kait Lamphere; Brian Murray,2,saga-volume,,issue 44 -> volume 8,p:38996024
2020-07-29,Saga of Saga: Issue 45,Kait Lamphere; Brian Murray,2,saga-volume,,issue 45 -> volume 8,p:38996026
2020-08-01,Saga of Saga: Issue 46,Kait Lamphere; Brian Murray,2,saga-volume,,issue 46 -> volume 8,p:38996089
2020-08-02,July 2020 Goodreads Book of the Month: Strange Fruit: Uncelebrated Narratives from Black History,Kait Lamphere; Nick White,2,description,,Kait and Nick discussed this month's Goodreads Book of the Month: Strange Fruit: Uncelebrated Narratives from Black History by Joel Christian Gill.,p:39788732
2020-08-05,Saga of Saga: Issue 47,Kait Lamphere; Brian Murray,2,saga-volume,,issue 47 -> volume 8,p:38996091
2020-08-08,Saga of Saga: Issue 48,Kait Lamphere; Brian Murray,2,saga-volume,,issue 48 -> volume 8,p:38996092
2020-08-12,Saga of Saga Vol. 8 Wrap,Brian Murray; Kara Szamborski; Kait Lamphere,3,saga-wrap+description,,"Brian, Kara, and Kait discuss Volume 8 of Saga!",p:38996094
2020-08-15,Saga of Saga: Issue 49,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 49 -> volume 9,p:40401332
2020-08-19,Saga of Saga: Issue 50,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 50 -> volume 9,p:40401355
2020-08-22,Saga of Saga: Issue 51,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 51 -> volume 9,p:40401358
2020-08-26,Saga of Saga: Issue 52,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 52 -> volume 9,p:40401359
2020-08-29,Saga of Saga: Issue 53,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 53 -> volume 9,p:40401360
2020-08-30,IRCB Movie Club #3: Tank Girl,Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"As voted on by you wonderful folks, Paul, Mike, and Brian sat down to discuss Tank Girl (1995), ",p:41039187
2020-09-02,Saga of Saga: Issue 54,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 54 -> volume 9,p:40401361
2020-09-05,Saga of Saga Vol. 9 Wrap (Series Wrap?),Brian Murray; Kara Szamborski; Kait Lamphere; Mike Rapin,4,saga-wrap+description,,"THIS IS IT. This is the last episode of Saga of Saga ! Brian, Kara, Kait, and Mike recount the final volume of Saga and the series as a whole. Thank you to everyone who has gone on",p:40401378
2020-09-28,"September 2020 Goodreads Book of the Month: Snow, Glass, Apples",Mike Rapin; Kait Lamphere,2,description,,"Mike and Kait dig into September's Goodreads Book of the Month: Snow, Glass, Apples by Neil Gaiman and Colleen Doran. What did you think of this retelling of the Snow White story? ",p:42096725
2020-11-29,IRCB Movie Club #4: Comic Book Confidential,Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul is joined, yet again, by Mike and Brian to discuss the film voted on by you wonderful humans: Comic Book Confidential (1988), ",p:44202613
2020-11-30,November 2020 Goodreads Book of the Month: Marvel 1602,Brian Murray; Nick White,2,description,,"Brian and Nick sat down to discuss the critically acclaimed Marvel 1602 by Neil Gaiman, Andy Kubert, and Richard Isanove. Goodreads Thread.",p:44348441
2021-02-12,Giant Days of Our Lives - Episode 2,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 2 of Giant Days (issues #5-8) by John Allison, Lissa Tremain, Max Sarin, Whitney Cogar, and Jim Campbell. See who each host thinks they resonat",p:45539773
2021-02-26,Giant Days of Our Lives - Episode 3,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 3 of Giant Days (issues #9-12) by John Allison, Lissa Tremain, Max Sarin, Whitney Cogar, and Jim Campbell. See who each host thinks they resona",p:47249318
2021-03-01,IRCB Movie Club #5: Spider-Man (2002),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul , Mike and Brian sat down to discuss : Spider-Man (2002) ",p:48139593
2021-03-12,Giant Days of Our Lives - Episode 4,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 3 of Giant Days (issues #13-16) by John Allison, Lissa Tremain, Max Sarin, Whitney Cogar, and Jim Campbell. See who each host thinks they reson",p:47249514
2021-03-26,Giant Days of Our Lives - Episode 5,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 5 of Giant Days (#17-20) by John Allison, Max Sarin, Liz Fleming, Whitney Cogar, and Jim Campbell. See who each host thinks they resonated most",p:48216907
2021-03-28,March 2021 Goodreads Book of the Month: Superman Smashes The Klan,Mike Rapin; Paul Jaissle,2,description,,"As chosen by our Goodreads group, Mike and Paul discuss Superman Smashes The Klan by Gene Luen Yang and Gurihiru. Goodreads Thread Stop AAPI Hate Show your Support on GoFundMe",p:49213537
2021-03-30,Episode 279 | You Guys Ever Want To Kill Hitler? (ft. Zanne Domoney-Lyttle),Mike Rapin; Paul Jaissle,2,description,,"Mike and Paul are joined by special guest, Dr. Zanne Domoney-Lyttle, researcher and lecturer at the University of Glasgow at the intersection of The Bible and Popular Culture speci",p:49373665
2021-04-09,Giant Days of Our Lives - Episode 6,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 6 of Giant Days (issues #21-24) by John Allison, Max Sarin, Liz Fleming, Whitney Cogar, and Jim Campbell. See who each host thinks they resonat",p:48217010
2021-04-23,Giant Days of Our Lives - Episode 7,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 7 of Giant Days (#25-28) by John Allison, Max Sarin, Liz Fleming, Whitney Cogar, and Jim Campbell. See who each host thinks they resonated most",p:49681384
2021-05-07,Giant Days of Our Lives - Episode 8,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 8 of Giant Days (#29-32) by John Allison, Max Sarin, Liz Fleming, Whitney Cogar, and Jim Campbell. See who each host thinks they resonated most",p:49681385
2021-05-21,Giant Days of Our Lives - Episode 9,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 9 of Giant Days (#33-36) by John Allison, Max Sarin, Liz Fleming, Jenna Ayoub, Whitney Cogar, Jim Campbell. See who each host thinks they reson",p:50464395
2021-05-30,IRCB Movie Club #6: Josie and the Pussycats (2001),Paul Jaissle; Mike Rapin; Kara Szamborski,3,series+description,stand-in,"Paul, Mike, and special guest Kara dig into the classic film, Josie and the Pussycats (2001) . Written and ",p:51601381
2021-05-30,"May 2021 Goodreads Book of the Month: Once & Future, Vol. 1: The King is Undead",Kate Skocelas; Brian Murray,2,description,,"As chosen by our Goodreads group, Kate and Brian discuss Once &amp; Future, Vol. 1: The King is Undead by Kieron Gillen, Dan Mora, and Tamra Bonvillain. Goodreads Thread",p:51780986
2021-06-04,Giant Days of Our Lives - Episode 10,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 10 of Giant Days (#37-40) by John Allison, Max Sarin (issues 37 &amp; 40), Julia Madrigal (issues 38 &amp; 39), Whitney Cogar, and Jim Campbell",p:50464506
2021-06-18,Giant Days of Our Live - Episode 11,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 11 (#41-44, 2018 Holiday Special) by John Allison, Max Sarin (#41-44), John Allison (2018 Holiday Special, “Where Women Glow and Men Plunder”),",p:50832236
2021-06-26,Candybar Anterlerboy Episode 4 | Secret Sauce,Mike Rapin,1,description,,"Catch Mike's brand new miniseries discussing all 8 episodes of the Netflix TV series SWEET TOOTH based on the comic book by Jeff Lemire. Every week, you can catch Mike every Thursd",p:52901182
2021-07-02,Giant Days of Our Lives - Episode 12,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 12 (#45-48) by John Allison, Max Sarin (#45-#47), John Allison (#48), Whitney Cogar, and Jim Campbell. See who each host thinks they resonated ",p:50832367
2021-07-16,Giant Days of Our Lives - Episode 13,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 13 (#49-52) by John Allison, Max Sarin, with contributions by John Allison in #49, Whitney Cogar, and Jim Campbell. See who each host thinks th",p:52780654
2021-07-26,"July 2021 Goodreads Book of the Month: Dial H for Hero, Vol. 1: Enter the Heroverse",Kate Skocelas; Brian Murray,2,description,,"As chosen by our Goodreads group, Kate and Brian discuss Dial H for Hero, Vol. 1: Enter the Heroverse by Sam Humphries, Joe Quinones, Arist Deyn, Scott Hanna, Tom Fowler, and Mike ",p:54111882
2021-07-30,Giant Days of Our Live - Episode 14,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Volume 14 (#53-54), ""Giant Days: As Time Goes By"" by John Allison, Max Sarin, Whitney Cogar, and Jim Campbell. See who each host thinks they resonated",p:52781159
2021-08-13,Giant Days of Our Lives - Episode 15: Extra Credit,Brian Murray; Kait Lamphere; Kara Szamborski,3,description,,"Brian, Kait, and Kara discuss Giant Days: Extra Credit... the FINAL episode of the series!!! Brian, Kait, and Kara discuss the ""last"" volume of Giant Days: Extra Credit “What Would",p:52781216
2021-08-29,IRCB Movie Club #7: My Friend Dahmer (2017),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul, Mike, and Brian discuss the movie My Friend Dahmer (2017) written and ",p:55306367
2021-09-26,September 2021 Goodreads Book of the Month: Black Widow Vol. 1: The Ties That Bind,Mike Rapin; Brian Murray,2,description,,"As chosen by our Goodreads group, Mike and Brian read an Eisner Award winning comic from 2021: Black Widow Vol. 1: The Ties That Bind by Kelly Thompson, Elena Casagrande, Rafael de",p:56629625
2021-11-28,IRCB Movie Club #8: Constantine (2005),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul, Mike, and Brian leap into hell with Constantine (2005) ",p:59137316
2021-11-29,November 2021 Goodreads Book of the Month: House of X / Powers of X,Mike Rapin; Kait Lamphere,2,description,,"As chosen by our Goodreads group, Mike and Kait take on the biggest event in recent X-Men history: House of X / Powers of X by Jonathan Hickman, Pepe Larraz, and R.B. Silva. Goodre",p:59254253
2021-12-24,IRCB Ep 300 Full Interviews,Paul Jaissle; Mike Rapin; Nick White,3,public-episode,,panel of public EP. 300,p:60102703
2021-12-31,Episode 300 Live Q&A,Paul Jaissle; Mike Rapin; Nick White,3,public-episode,,panel of public EP. 300,p:60159837
2022-02-22,Episode 318 | You Can't Just Be A Crony Anymore,Mike Rapin; René Rodriguez,2,description,,"Mike and René are joined by special guest, Gabe Cheng, to chat about comics and a bit about Gabe’s ongoing Kickstarter: The Problem With Parallels with artist Elisa Meneghel. Find ",p:62883633
2022-03-06,IRCB Movie Club #9: Dick Tracy (1990),Paul Jaissle; Mike Rapin,2,series+description,stand-in,"Paul and Mike are joined by a special guest, Jon from Best One Since The Next One podcast! This episode they're talking Dick Tracy (1990), ",p:63413844
2022-04-01,IRCB - The Phantom Menace (IRCB Audio Only),Mike Rapin; Tia Vasiliou; Kara Szamborski; Paul Jaissle; Brian Murray; Kait Lamphere,6,description,,"THE AUDIO VERSION - Press play on the movie and this audio at the same time and everything should sync up perfectly! Mike, Tia, Kara, Paul, Brian, and Kait sat down and watched Sta",p:64554314
2022-04-03,March 2022 Goodreads Book of the Month: Run,Brian Murray; Paul Jaissle,2,description,,"Brian and Paul picked a comic from our March BotM Thread to discuss: Run by John Lewis, Andrew Aydin, Nate Powell, and L. Fury. Enjoy!",p:64636254
2022-04-30,A Better Batmobile Episode 2 | Batman & Son,Paul Jaissle; Kara Szamborski,2,series+description,,"On this episode, Paul is joined by known Grant Morrison... hater? skeptic? disliker? Kara Szamborski! FULL SPOILERS for Batman #655-658, 663-666 Want a shirt? Grab one now on our s",p:64981721
2022-05-14,A Better Batmobile Episode 3 | Batman: The Black Glove,Paul Jaissle; Kara Szamborski,2,series+description,,Paul is joined again by Kara for this MASSIVE episode to fall further into the Morrison Batman saga. This time: Batman: The Black Glove! FULL SPOILERS for: Detective Comics #215 (i,p:66360288
2022-05-28,A Better Batmobile Episode 4 | Batman RIP,Paul Jaissle; Kara Szamborski,2,series+description,,Paul is joined again by Kara for another MASSIVE episode to fall further into the Morrison Batman saga. This time: Batman: RIP! FULL SPOILERS for: Batman #113 (included in the Batm,p:66460542
2022-05-29,IRCB Movie Club #10: Judge Dredd (1995) & Dredd (2012),Brian Murray; Mike Rapin; Paul Jaissle,3,series+description,,"For our 10th Movie Club, Brian and Mike join Paul for a double feature based on YOUR votes. Both movies are based on characters ",p:67052523
2022-05-29,May 2022 Goodreads Book of the Month - Runner Up Comics,Brian Murray; Kait Lamphere,2,description,,"This month, Brian and Kait dug into runner up comics from our previous months of Goodreads polls from 2017-2021. This month, Brian and Kait dug into runner up comics from our previ",p:67050829
2022-06-11,A Better Batmobile Episode 5 | Final Crisis & Batman RIP pt. 2,Paul Jaissle; Brian Murray,2,series+description,,Paul is joined by Brian as he is dropped in blind to the end of Batman RIP and pieces of the event known as Final Crisis. FULL SPOILERS for: Batman #156 Batman #682 &amp; 683 (incl,p:66905610
2022-06-25,A Better Batmobile Episode 6 | Batman & Robin Part 1,Paul Jaissle; René Rodriguez,2,series+description,,"Paul is joined by René to dig into the first 2/3s of Grant Morrison's Iconic series with Frank Quietly, Phillip Tan, Cameron Stewart, and Dustin Nguyen: Batman &amp; Robin. FULL SP",p:68223430
2022-07-09,A Better Batmobile Episode 7 | The Return of Bruce Wayne,Paul Jaissle; Kate Skocelas,2,series+description,,Paul is joined by Kate in an absolute deception by DC Comics with a new number 1 and a oversized anniversary issue (Paul’s favorite kind of comic). FULL SPOILERS for: The Return of,p:68668961
2022-07-17,IRCB - Attack of the Clones (IRCB Audio Only),Brian Murray; Kara Szamborski; Mike Rapin; Tia Vasiliou; Zander,5,description,,"THE AUDIO VERSION - Press play on the movie and this audio at the same time and everything should sync up perfectly! Brian, Kara, Mike, Tia, and Zander revisited Star Wars: Attack ",p:69190337
2022-07-23,A Better Batmobile Episode 8 | Batman and Robin Part 2 + Batman: The Return,Paul Jaissle; René Rodriguez,2,series+description,,René returns to A Better Batmobile to finish Batman and Robin and discuss Batman's return with Paul! FULL SPOILERS for: Batman and Robin #13-16 Batman: The Return Want a shirt? Gra,p:69440236
2022-08-06,A Better Batmobile Episode 9 | Batman Incorporated Part 1,Paul Jaissle; Kate Skocelas,2,series+description,,Kate joins Paul again… and again Kate is swindled by DC’s numbering to discuss the first part of Morrison’s Batman Incorporated run just before the New 52! This is the beginning of,p:70041034
2022-08-07,July 2022 Goodreads Book of the Month - Sports Comics,Mike Rapin; René Rodriguez,2,description,,"This month, Mike and René tackled July’s Book of the Month thread, Sports Comics! This month, Mike and René tackled July’s Book of the Month thread, Sports Comics! Rather than only",p:70041504
2022-08-20,A Better Batmobile Episode 10 | Batman Incorporated Part 2,Paul Jaissle; Mike Rapin,2,series+description,,Paul hosts Mike to wrap up the final two episodes of A Better Batmobile! FULL SPOILERS for: Batman Incorporated vol 2 #0-6 Want a shirt? Grab one now on our shop! Check out Paul's ,p:70725202
2022-08-27,IRCB - Revenge of the Sith (IRCB Audio Only),Daniel Martinez; Kara Szamborski; Kate Skocelas; Tia Vasiliou; Mike Rapin; Zander,6,description,,"THE AUDIO VERSION - Press play on the movie and this audio at the same time and everything should sync up perfectly! Danny, Kara, Kate, Tia, Mike, and Zander revisited Star Wars: R",p:70456126
2022-08-28,IRCB Movie Club #11: X2: X-Men United (2003),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul is joined, yet again, by Mike and Brian to discuss the first major superhero movie sequel--as decided by YOU patrons-- X2: X-Men United . ",p:71047810
